name,type,latitude,longitude,min_distance,risk_score
Marion County Fire-Rescue Station Number 18,fire_station,29.0585911,-82.0536991,6.95936521863939,0.12563815989473398
Marion County Fire-Rescue Station Number 21,fire_station,29.0915458,-82.2501484,11.274097468692595,0.08147238544835488
Marion County Fire-Rescue Station Number 16,fire_station,29.1158114,-82.1356469,13.295071163696779,0.06995418130827932
Anthony Volunteer Fire Department,fire_station,29.2896966,-82.1084254,8.954006374396757,0.10046206144413918
Marion County Fire and Rescue Station Number 19,fire_station,29.3433647,-82.1122206,9.781277515712098,0.0927533864648832
Marion County Fire-Rescue Station Number 17,fire_station,29.1097708,-82.0149167,1.8112568177951731,0.3557127878428002
Marion County Fire-Rescue Station Number 11,fire_station,29.3269178,-82.197318,3.0043974496536503,0.24972546121426892
Marion County Fire-Rescue Station Number 27,fire_station,28.9844275,-81.9375837,4.044802211410011,0.19822382684067652
Sumter County Fire-Rescue Station Number 31,fire_station,28.8613752,-82.0398076,8.997533047178495,0.100024675615573
Coleman Fire Department,fire_station,28.8010992,-82.0689745,3.025605138781868,0.2484098577791949
Marion County Fire-Rescue Station Number 24,fire_station,29.0083131,-82.1970367,0.9682538181493241,0.5080645548754799
Marion County Fire-Rescue Station Number 10,fire_station,28.981649,-82.0170306,2.6282221066461857,0.27561708478877234
Ocala Fire Station Number 5,fire_station,29.2110872,-82.1034244,10.113716611934056,0.08997890039108851
Fire Station Number 49,fire_station,26.1105556,-80.1061111,1.3228711292020379,0.43050171291401956
Fire Station Number 46,fire_station,26.1391667,-80.1544444,6.297121820440923,0.13704033242240374
Fire Station Number 55,fire_station,26.3552778,-80.1502778,7.0188279634137904,0.12470650381359198
Fire Station Number 57,fire_station,26.3547222,-80.1916667,5.102642764912848,0.16386343401083564
Fire Station Number 63,fire_station,26.8091667,-80.1175,2.0138286422915903,0.3318038676676858
Fire Station Number 59,fire_station,26.3794444,-80.1630556,4.33200542631946,0.18754669585741082
Dania Fire Station,fire_station,26.0522222,-80.1452778,6.976705671469411,0.12536503679416658
Davie Fire Station,fire_station,26.1041379,-80.3573429,4.2842755114928615,0.1892407006078852
Bunche Park Fire Station,fire_station,25.9136111,-80.2447222,5.732321765221147,0.14853716665266242
Gainesville Fire Station Number 4,fire_station,29.65146,-82.3769216,6.141537031274356,0.14002587896986052
Alachua County Fire Rescue Station 12,fire_station,29.6388889,-82.2727778,5.061969644592105,0.16496288477658444
Airport North Side Fire Station,fire_station,25.8075,-80.2888889,8.937458146035324,0.100629354640247
Alachua County Fire Rescue Station 19,fire_station,29.6357468,-82.3896402,4.099075886346213,0.19611396697933017
Alachua County Fire Rescue Station 15,fire_station,29.6677778,-82.4363889,7.113278280447702,0.12325473938320511
Alachua County Fire/Rescue Station 17,fire_station,29.6859267,-82.4947363,1.645406369099668,0.3780137568582092
City of Gainesville Fire Station 7,fire_station,29.7064099,-82.388104,10.83087777840912,0.08452458209186813
Gainesville Fire Station Number 3,fire_station,29.6599767,-82.3067242,6.700698551175425,0.1298583489996971
Alachua County Fire Rescue Headquarters,fire_station,29.6433333,-82.3194444,5.172049050656146,0.1620207473713597
Hollywood Fire Station,fire_station,26.0108333,-80.1772222,7.810782549500016,0.11349729656609751
Hollywood Fire Station,fire_station,26.0127778,-80.1477778,4.981633789637694,0.167178405627632
Hallandale Fire Station,fire_station,25.98,-80.1438889,4.918207195730964,0.16897008957735368
Hallandale Fire Station,fire_station,25.9863738,-80.1187441,2.4094443035019273,0.29330292885936704
Fire Station Number 79,fire_station,26.0146207,-80.4358302,6.615683645985078,0.13130797528954494
Fire Station Number 16,fire_station,26.1563889,-80.1394444,7.404139456913581,0.11898898217084677
Fire Station Number 17,fire_station,26.798092,-80.1369407,3.672566017464452,0.21401516773916995
Fire Station Number 23,fire_station,26.7083196,-80.1268348,2.8215911744457776,0.2616711088006487
Fire Station Number 28,fire_station,26.69,-80.2302778,12.989830927049514,0.07148049216709884
Fire Station Number 29,fire_station,26.1486111,-80.1202778,5.771976546419809,0.14766737497469293
Fire Station Number 36,fire_station,26.6375,-80.1141667,4.40120661265773,0.18514381539423053
Fort Lauderdale Fire / Rescue Station 35,fire_station,26.1894474,-80.1198075,10.140707078193925,0.0897609095168953
Fire Station Number 46,fire_station,26.5641463,-80.1460546,6.0718991453067375,0.1414047315230237
Riviera Beach Fire / Rescue Station 1,fire_station,26.7832914,-80.0660231,3.850392820949934,0.20616886856684594
Old Fire Station,fire_station,25.9813606,-80.1495543,5.369084998591044,0.1570084243217382
Lake Park Fire Department,fire_station,26.7986773,-80.0741456,2.5703018666080335,0.28008836153399275
North Palm Beach Fire Department Station 67,fire_station,26.8122538,-80.0561467,4.560553172615797,0.17983822273739355
Boca Raton Fire / Rescue Station 8,fire_station,26.3296454,-80.0938028,3.35379034953187,0.2296849227265898
Hollywood Fire / Rescue Station 45,fire_station,26.0259556,-80.2166099,8.3988652658607,0.10639582244383042
Pompano Beach Fire Prevention,fire_station,26.2308586,-80.1248428,8.077403825868492,0.1101636568321696
Lauderhill Fire Department,fire_station,26.188007,-80.2551761,4.666924008433413,0.17646257449576142
Hallandale Beach Fire / Rescue Station 60,fire_station,25.9863544,-80.1186021,2.3997892612376175,0.2941358781855709
Hallandale Fire / Rescue Station 90,fire_station,25.9877058,-80.1264408,2.975318943534153,0.25155214316237384
Margate Fire / Rescue Station 18,fire_station,26.2412874,-80.2058499,6.554548654993809,0.13237058170761354
Fort Lauderdale Fire / Rescue Station 29,fire_station,26.1486131,-80.1203522,5.7747940792308485,0.1476059623812996
Plantation Fire Station #2,fire_station,26.1286219,-80.2362533,4.819856892333642,0.17182553085064273
Miami Dade Fire / Rescue,fire_station,25.8102237,-80.3485901,11.10378385369787,0.08261879194864229
South Florida Fire Fighters,fire_station,25.9048435,-80.3171737,1.8002356323509647,0.35711280452511074
Hollywood Fire / Rescue Station 31,fire_station,26.0110287,-80.1775003,7.841605795340762,0.11310162691566361
Coral Gables Fire Department Station 1,fire_station,25.7458691,-80.2603962,6.461735405704937,0.13401708123226147
Delray Beach Fire / Rescue Station 1,fire_station,26.4621322,-80.0786369,7.228840368657057,0.12152380593126022
Oakland Park Fire Department,fire_station,26.1737576,-80.1713513,8.685783629940785,0.10324409858886283
Hialeah Fire Department Station 1,fire_station,25.8267032,-80.2799625,8.393205753211227,0.106459927129578
Hernando County Fire Rescue Station 23,fire_station,28.6369444,-82.3377778,14.061938358094244,0.06639251710007184
Citrus County Fire Station 51,fire_station,28.735,-82.3030556,18.067478450058644,0.05244531953289945
Hernando County Fire Station 13,fire_station,28.6138889,-82.4736111,3.003566958242791,0.24977726373256684
Citrus County Fire Rescue Station 82,fire_station,28.7222222,-82.3608333,13.795177767560126,0.06758959004822489
Tri County Volunteer Fire Department,fire_station,28.6455556,-82.2655556,8.161018014059032,0.10915817417511262
Hernando County Fire Station 22,fire_station,28.5175,-82.2063889,2.043596202191307,0.3285586962160181
Hernando County Fire Department Station 11,fire_station,28.525,-82.4913889,8.381914872060328,0.1065880487764854
Hernando County Fire Station 21,fire_station,28.5430556,-82.3005556,4.787872003509985,0.1727750716314324
Lake County Fire Rescue Station 27,fire_station,28.8475,-81.6333333,6.200148072994499,0.13888603260128593
Brooksville Fire Department,fire_station,28.5544444,-82.4008333,10.928375552955506,0.08383371193843984
Eustis Fire Department,fire_station,28.8453201,-81.6867794,9.842034567409282,0.09223361111630833
South Levy Volunteer Fire Station - District 1,fire_station,29.0452778,-82.5758333,6.52236645207011,0.13293688979015453
De Rosa Volunteer Fire Station 41,fire_station,29.0097222,-82.5691667,6.812691358285435,0.12799686486264306
Tavares Fire Station Number 1,fire_station,28.8038889,-81.7236111,12.05230627193778,0.07661481267490494
Tavares Fire Station Number 2,fire_station,28.7722222,-81.7455556,14.517341779107557,0.06444402747810796
Dania Beach Fire / Rescue Station 32,fire_station,26.0565047,-80.1847447,5.070771655381816,0.1647237051180285
Lauderdale by the Sea Fire Department Station 36,fire_station,26.2065049,-80.0945135,10.410568561303407,0.08763805191892839
Saga Bay Fire Department Station 55,fire_station,25.5663755,-80.3309362,4.858588628812981,0.17068957446200003
Port Everglades Fire Department Station 6,fire_station,26.082681,-80.1166902,2.5468953478426823,0.2819367085663317
Carver Ranches Fire Department Station 17,fire_station,25.9869909,-80.1834565,8.465717777744636,0.10564439205562988
Newberry Fire Station # 1,fire_station,29.6494444,-82.6069444,10.54195200180769,0.08664045733714548
Jupiter Fire Department Station 14,fire_station,26.9234543,-80.192297,8.545663115996133,0.10475961573840284
South Miami Heights Fire Department Station 52,fire_station,25.586206,-80.3875335,8.911289700011956,0.10089504295276464
West Sunset Fire Department Station 56,fire_station,25.6982041,-80.4561348,11.771797916023523,0.07829751195369275
Island Grove Volunteer Fire Department,fire_station,29.4536111,-82.1080556,5.21681992608382,0.16085394331663277
Archer Volunteer Fire Department,fire_station,29.5336111,-82.525,7.767990550079759,0.11405121781191968
Weston Fire / Rescue Station 81,fire_station,26.0929432,-80.3816368,1.9945676537179007,0.3339380223246757
Lake Forest Fire Department Station 48,fire_station,25.9755114,-80.1838566,8.8128442851043,0.10190725246888713
Perrine Fire Department Station 50,fire_station,25.6032926,-80.3495157,4.978806197853536,0.16725747028880317
Palm Beach Shores Volunteer Fire Department,fire_station,26.7786124,-80.0369241,6.697397476073113,0.12991403953198968
Fort Lauderdale Fire / Rescue Station 3,fire_station,26.0884828,-80.1469642,4.861601927137287,0.17060182735547585
Weston North Fire Department Station 67,fire_station,26.1154864,-80.4068669,1.853494062757327,0.35044754886705515
Dania Beach Fire / Rescue Station 1,fire_station,26.05252,-80.1452925,6.9524745941341966,0.12574702228380677
Davie Fire / Rescue Station 65,fire_station,26.1050172,-80.2813453,8.141786998033137,0.10938780352409773
Margate Fire / Rescue Station 98,fire_station,26.2575574,-80.1972381,4.727428660384277,0.17459842091388109
Model Cities Fire Department Station 2,fire_station,25.8333379,-80.2416796,5.580987819385737,0.15195287203758098
Palm Beach Fire Department South,fire_station,26.6393768,-80.0386762,5.826942082977494,0.14647846544552218
Lake Worth Beach Fire Department Station 91,fire_station,26.6169505,-80.058684,4.519349960970822,0.181180756261396
Tequesta Fire Department,fire_station,26.9590413,-80.0937172,4.596756166608118,0.1786749270883538
Boca Raton Fire / Rescue Station 2,fire_station,26.3508566,-80.1052453,5.489423318757025,0.15409689750237138
